DistrictName,SchoolName,Category,Subcategory,Count,Percent,TotalCount
Mount Vernon School District,Skagit Academy,RaceEthnicity,Asian,1,100.0%,1
Muckleshoot Indian Tribe,Muckleshoot Tribal School (Closed after 2020-2021 school year),Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Muckleshoot Indian Tribe,Muckleshoot Tribal School (Closed after 2020-2021 school year),Degree,Master's Degree,1,100.0%,1
Muckleshoot Indian Tribe,Muckleshoot Tribal School (Closed after 2020-2021 school year),Gender,Male,1,100.0%,1
Muckleshoot Indian Tribe,Muckleshoot Tribal School (Closed after 2020-2021 school year),RaceEthnicity,White,1,100.0%,1
Mukilteo School District,Kamiak High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),2,100.0%,2
Mukilteo School District,Kamiak High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Mukilteo School District,Kamiak High School,Degree,Master's Degree,1,50.0%,2
Mukilteo School District,Kamiak High School,Degree,Other/Non Degreed,1,50.0%,2
Mukilteo School District,Kamiak High School,Gender,Male,2,100.0%,2
Mukilteo School District,Kamiak High School,RaceEthnicity,Black/ African American,1,50.0%,2
Mukilteo School District,Kamiak High School,RaceEthnicity,White,1,50.0%,2
Mukilteo School District,Mariner High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Mukilteo School District,Mariner High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),2,100.0%,2
Mukilteo School District,Mariner High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Mukilteo School District,Mariner High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
Mukilteo School District,Mariner High School,Degree,Bachelor's Degree,1,50.0%,2
Mukilteo School District,Mariner High School,Degree,Master's Degree,1,50.0%,2
Mukilteo School District,Mariner High School,Gender,Female,1,50.0%,2
Mukilteo School District,Mariner High School,Gender,Male,1,50.0%,2
Mukilteo School District,Mariner High School,RaceEthnicity,Asian,1,50.0%,2
Mukilteo School District,Mariner High School,RaceEthnicity,White,1,50.0%,2
Mukilteo School District,Sno-Isle Skills Center ,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,2,66.7%,3
Mukilteo School District,Sno-Isle Skills Center ,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,33.3%,3
Mukilteo School District,Sno-Isle Skills Center ,Certificate,T230700 - CONTINUING TEACHER                                          ,2,66.7%,3
Mukilteo School District,Sno-Isle Skills Center ,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,33.3%,3
Mukilteo School District,Sno-Isle Skills Center ,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),2,66.7%,3
Mukilteo School District,Sno-Isle Skills Center ,Degree,Bachelor's Degree,1,33.3%,3
Mukilteo School District,Sno-Isle Skills Center ,Degree,Master's Degree,1,33.3%,3
Mukilteo School District,Sno-Isle Skills Center ,Degree,Other/Non Degreed,1,33.3%,3
Mukilteo School District,Sno-Isle Skills Center ,Gender,Female,2,66.7%,3
Mukilteo School District,Sno-Isle Skills Center ,Gender,Male,1,33.3%,3
Mukilteo School District,Sno-Isle Skills Center ,RaceEthnicity,White,3,100.0%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Certificate,T230700 - CONTINUING TEACHER                                          ,1,33.3%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,33.3%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,33.3%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Certificate,TCTE300 - CAREER AND TECHNICAL ED INITIAL TEACHER (RENEWAL),1,33.3%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,33.3%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Degree,Master's Degree,3,100.0%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,Gender,Male,3,100.0%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,RaceEthnicity,Hispanic/ Latino of any race(s),1,33.3%,3
Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,RaceEthnicity,White,2,66.7%,3
Newport School District,Newport High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Newport School District,Newport High School,Degree,Other/Non Degreed,1,100.0%,1
Newport School District,Newport High School,Gender,Male,1,100.0%,1
Newport School District,Newport High School,RaceEthnicity,White,1,100.0%,1
Nine Mile Falls School District,Lakeside High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Nine Mile Falls School District,Lakeside High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Nine Mile Falls School District,Lakeside High School,Degree,Bachelor's Degree,1,100.0%,1
Nine Mile Falls School District,Lakeside High School,Gender,Male,1,100.0%,1
Nine Mile Falls School District,Lakeside High School,RaceEthnicity,Two or more races,1,100.0%,1
Nooksack Valley School District,Nooksack Valley High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Nooksack Valley School District,Nooksack Valley High School,Degree,Master's Degree,1,100.0%,1
Nooksack Valley School District,Nooksack Valley High School,Gender,Male,1,100.0%,1
Nooksack Valley School District,Nooksack Valley High School,RaceEthnicity,White,1,100.0%,1
North Kitsap School District,District Programs,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
North Kitsap School District,District Programs,Degree,Bachelor's Degree,1,100.0%,1
North Kitsap School District,District Programs,Gender,Female,1,100.0%,1
North Kitsap School District,District Programs,RaceEthnicity,Two or more races,1,100.0%,1
North Kitsap School District,North Kitsap High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
North Kitsap School District,North Kitsap High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
North Kitsap School District,North Kitsap High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
North Kitsap School District,North Kitsap High School,Degree,Other/Non Degreed,2,100.0%,2
North Kitsap School District,North Kitsap High School,Gender,Female,2,100.0%,2
North Kitsap School District,North Kitsap High School,RaceEthnicity,Hispanic/ Latino of any race(s),1,50.0%,2
North Kitsap School District,North Kitsap High School,RaceEthnicity,White,1,50.0%,2
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Certificate,1043700 - CONTINUING ELEMENTARY AND SECONDARY TEACHER                 ,1,33.3%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,33.3%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,33.3%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,33.3%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Degree,Master's Degree,2,66.7%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Degree,Other/Non Degreed,1,33.3%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,Gender,Female,3,100.0%,3
North Kitsap School District,North Kitsap Online Academy & Parent Assisted Learning,RaceEthnicity,White,3,100.0%,3
North Mason School District,North Mason Homelink Program,Certificate,ACTE300 - INITIAL CAREER AND TECHNICAL EDUCATION DIRECTOR,1,100.0%,1
North Mason School District,North Mason Homelink Program,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
North Mason School District,North Mason Homelink Program,Certificate,ECTE300 - CTE Initial Career Guidance Specialist,1,100.0%,1
North Mason School District,North Mason Homelink Program,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
North Mason School District,North Mason Homelink Program,Degree,Master's Degree,1,100.0%,1
North Mason School District,North Mason Homelink Program,Gender,Female,1,100.0%,1
North Mason School District,North Mason Homelink Program,RaceEthnicity,White,1,100.0%,1
North Mason School District,North Mason Senior High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
North Mason School District,North Mason Senior High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,100.0%,1
North Mason School District,North Mason Senior High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
North Mason School District,North Mason Senior High School,Degree,Bachelor's Degree,1,100.0%,1
North Mason School District,North Mason Senior High School,Gender,Male,1,100.0%,1
North Mason School District,North Mason Senior High School,RaceEthnicity,White,1,100.0%,1
North Thurston Public Schools,North Thurston High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
North Thurston Public Schools,North Thurston High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
North Thurston Public Schools,North Thurston High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
North Thurston Public Schools,North Thurston High School,Degree,Bachelor's Degree,1,100.0%,1
North Thurston Public Schools,North Thurston High School,Gender,Female,1,100.0%,1
North Thurston Public Schools,North Thurston High School,RaceEthnicity,White,1,100.0%,1
North Thurston Public Schools,River Ridge High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),2,100.0%,2
North Thurston Public Schools,River Ridge High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
North Thurston Public Schools,River Ridge High School,Degree,Bachelor's Degree,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Degree,Master's Degree,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Gender,Female,1,50.0%,2
North Thurston Public Schools,River Ridge High School,Gender,Male,1,50.0%,2
North Thurston Public Schools,River Ridge High School,RaceEthnicity,Two or more races,1,50.0%,2
North Thurston Public Schools,River Ridge High School,RaceEthnicity,White,1,50.0%,2
North Thurston Public Schools,Timberline High School,Certificate,ACTE500 - CONTINUING CAREER AND TECHNICAL EDUCATION DIRECTOR,1,100.0%,1
North Thurston Public Schools,Timberline High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
North Thurston Public Schools,Timberline High School,Certificate,T330500 - PROFESSIONAL TEACHER                                        ,1,100.0%,1
North Thurston Public Schools,Timberline High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
North Thurston Public Schools,Timberline High School,Degree,Master's Degree,1,100.0%,1
North Thurston Public Schools,Timberline High School,Gender,Male,1,100.0%,1
North Thurston Public Schools,Timberline High School,RaceEthnicity,White,1,100.0%,1
Northshore School District,Bothell High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,50.0%,2
Northshore School District,Bothell High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Northshore School District,Bothell High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Northshore School District,Bothell High School,Degree,Bachelor's Degree,1,50.0%,2
Northshore School District,Bothell High School,Degree,Master's Degree,1,50.0%,2
Northshore School District,Bothell High School,Gender,Male,2,100.0%,2
Northshore School District,Bothell High School,RaceEthnicity,White,2,100.0%,2
Northshore School District,Inglemoor HS,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Northshore School District,Inglemoor HS,Degree,Other/Non Degreed,1,100.0%,1
Northshore School District,Inglemoor HS,Gender,Male,1,100.0%,1
Northshore School District,Inglemoor HS,RaceEthnicity,White,1,100.0%,1
Northshore School District,Innovation Lab High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Northshore School District,Innovation Lab High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Northshore School District,Innovation Lab High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,50.0%,2
Northshore School District,Innovation Lab High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,50.0%,2
Northshore School District,Innovation Lab High School,Degree,Master's Degree,2,100.0%,2
Northshore School District,Innovation Lab High School,Gender,Female,1,50.0%,2
Northshore School District,Innovation Lab High School,Gender,Male,1,50.0%,2
Northshore School District,Innovation Lab High School,RaceEthnicity,White,2,100.0%,2
Northshore School District,North Creek High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,33.3%,3
Northshore School District,North Creek High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,2,66.7%,3
Northshore School District,North Creek High School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,2,66.7%,3
Northshore School District,North Creek High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,33.3%,3
Northshore School District,North Creek High School,Degree,Bachelor's Degree,1,33.3%,3
Northshore School District,North Creek High School,Degree,Master's Degree,1,33.3%,3
Northshore School District,North Creek High School,Degree,Other/Non Degreed,1,33.3%,3
Northshore School District,North Creek High School,Gender,Female,1,33.3%,3
Northshore School District,North Creek High School,Gender,Male,2,66.7%,3
Northshore School District,North Creek High School,RaceEthnicity,Asian,1,33.3%,3
Northshore School District,North Creek High School,RaceEthnicity,White,2,66.7%,3
Northshore School District,Woodinville HS,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),2,100.0%,2
Northshore School District,Woodinville HS,Certificate,T320800 - RESIDENCY TEACHER (RENEWAL)                                 ,1,50.0%,2
Northshore School District,Woodinville HS,Degree,Bachelor's Degree,1,50.0%,2
Northshore School District,Woodinville HS,Degree,Master's Degree,1,50.0%,2
Northshore School District,Woodinville HS,Gender,Female,1,50.0%,2
Northshore School District,Woodinville HS,Gender,Male,1,50.0%,2
Northshore School District,Woodinville HS,RaceEthnicity,White,2,100.0%,2
Oak Harbor School District,Oak Harbor High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Oak Harbor School District,Oak Harbor High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Oak Harbor School District,Oak Harbor High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Oak Harbor School District,Oak Harbor High School,Degree,Master's Degree,1,100.0%,1
Oak Harbor School District,Oak Harbor High School,Gender,Male,1,100.0%,1
Oak Harbor School District,Oak Harbor High School,RaceEthnicity,White,1,100.0%,1
Oak Harbor School District,Oak Harbor Virtual Academy,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Oak Harbor School District,Oak Harbor Virtual Academy,Degree,Master's Degree,1,100.0%,1
Oak Harbor School District,Oak Harbor Virtual Academy,Gender,Male,1,100.0%,1
Oak Harbor School District,Oak Harbor Virtual Academy,RaceEthnicity,White,1,100.0%,1
Oakville School District,Oakville Homelink Alternative School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Oakville School District,Oakville Homelink Alternative School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,100.0%,1
Oakville School District,Oakville Homelink Alternative School,Degree,Master's Degree,1,100.0%,1
Oakville School District,Oakville Homelink Alternative School,Gender,Male,1,100.0%,1
Oakville School District,Oakville Homelink Alternative School,RaceEthnicity,White,1,100.0%,1
Ocean Beach School District,Ilwaco High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Ocean Beach School District,Ilwaco High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,100.0%,1
Ocean Beach School District,Ilwaco High School,Certificate,T330900 - PROFESSIONAL TEACHER (RENEWAL),1,100.0%,1
Ocean Beach School District,Ilwaco High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Ocean Beach School District,Ilwaco High School,Degree,Master's Degree,1,100.0%,1
Ocean Beach School District,Ilwaco High School,Gender,Male,1,100.0%,1
Ocean Beach School District,Ilwaco High School,RaceEthnicity,White,1,100.0%,1
Odessa School District,Odessa High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Odessa School District,Odessa High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Odessa School District,Odessa High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Odessa School District,Odessa High School,Degree,Master's Degree,1,100.0%,1
Odessa School District,Odessa High School,Gender,Male,1,100.0%,1
Odessa School District,Odessa High School,RaceEthnicity,White,1,100.0%,1
Office of the Governor (Sch for Blind),Washington State School for the Blind,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,100.0%,1
Office of the Governor (Sch for Blind),Washington State School for the Blind,Degree,Master's Degree,1,100.0%,1
Office of the Governor (Sch for Blind),Washington State School for the Blind,Gender,Female,1,100.0%,1
Office of the Governor (Sch for Blind),Washington State School for the Blind,RaceEthnicity,White,1,100.0%,1
Okanogan School District,Okanogan High School,Certificate,A310515 - RESIDENCY ADMINISTRATOR (FIRST ISSUE)                       ,1,100.0%,1
Okanogan School District,Okanogan High School,Certificate,ACTE300 - INITIAL CAREER AND TECHNICAL EDUCATION DIRECTOR,1,100.0%,1
Okanogan School District,Okanogan High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Okanogan School District,Okanogan High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Okanogan School District,Okanogan High School,Degree,Master's Degree,1,100.0%,1
Okanogan School District,Okanogan High School,Gender,Male,1,100.0%,1
Okanogan School District,Okanogan High School,RaceEthnicity,White,1,100.0%,1
Olympia School District,Capital High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,100.0%,1
Olympia School District,Capital High School,Degree,Master's Degree,1,100.0%,1
Olympia School District,Capital High School,Gender,Male,1,100.0%,1
Olympia School District,Capital High School,RaceEthnicity,White,1,100.0%,1
Olympia School District,Olympia High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Olympia School District,Olympia High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Olympia School District,Olympia High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Olympia School District,Olympia High School,Certificate,T330600 - PROFESSIONAL TEACHER,1,50.0%,2
Olympia School District,Olympia High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,2,100.0%,2
Olympia School District,Olympia High School,Degree,Master's Degree,2,100.0%,2
Olympia School District,Olympia High School,Gender,Female,1,50.0%,2
Olympia School District,Olympia High School,Gender,Male,1,50.0%,2
Olympia School District,Olympia High School,RaceEthnicity,White,2,100.0%,2
Omak School District,Omak Middle School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,100.0%,1
Omak School District,Omak Middle School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,100.0%,1
Omak School District,Omak Middle School,Degree,Master's Degree,1,100.0%,1
Omak School District,Omak Middle School,Gender,Male,1,100.0%,1
Omak School District,Omak Middle School,RaceEthnicity,Hispanic/ Latino of any race(s),1,100.0%,1
Omak School District,Washington Virtual Academy Omak High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,25.0%,4
Omak School District,Washington Virtual Academy Omak High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,25.0%,4
Omak School District,Washington Virtual Academy Omak High School,Certificate,T230700 - CONTINUING TEACHER                                          ,2,50.0%,4
Omak School District,Washington Virtual Academy Omak High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,25.0%,4
Omak School District,Washington Virtual Academy Omak High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,25.0%,4
Omak School District,Washington Virtual Academy Omak High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),2,50.0%,4
Omak School District,Washington Virtual Academy Omak High School,Degree,Master's Degree,4,100.0%,4
Omak School District,Washington Virtual Academy Omak High School,Gender,Female,3,75.0%,4
Omak School District,Washington Virtual Academy Omak High School,Gender,Male,1,25.0%,4
Omak School District,Washington Virtual Academy Omak High School,RaceEthnicity,Two or more races,1,25.0%,4
Omak School District,Washington Virtual Academy Omak High School,RaceEthnicity,White,3,75.0%,4
Orcas Island School District,OASIS K-12,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,100.0%,1
Orcas Island School District,OASIS K-12,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Orcas Island School District,OASIS K-12,Degree,Master's Degree,1,100.0%,1
Orcas Island School District,OASIS K-12,Gender,Male,1,100.0%,1
Orcas Island School District,OASIS K-12,RaceEthnicity,White,1,100.0%,1
Orcas Island School District,Orcas Island High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Orcas Island School District,Orcas Island High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Orcas Island School District,Orcas Island High School,Degree,Bachelor's Degree,1,100.0%,1
Orcas Island School District,Orcas Island High School,Gender,Male,1,100.0%,1
Orcas Island School District,Orcas Island High School,RaceEthnicity,White,1,100.0%,1
Oroville School District,Oroville Middle-High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Oroville School District,Oroville Middle-High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),1,50.0%,2
Oroville School District,Oroville Middle-High School,Degree,Master's Degree,1,50.0%,2
Oroville School District,Oroville Middle-High School,Degree,Other/Non Degreed,1,50.0%,2
Oroville School District,Oroville Middle-High School,Gender,Female,1,50.0%,2
Oroville School District,Oroville Middle-High School,Gender,Male,1,50.0%,2
Oroville School District,Oroville Middle-High School,RaceEthnicity,White,2,100.0%,2
Orting School District,Orting High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,100.0%,1
Orting School District,Orting High School,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,100.0%,1
Orting School District,Orting High School,Degree,Master's Degree,1,100.0%,1
Orting School District,Orting High School,Gender,Female,1,100.0%,1
Orting School District,Orting High School,RaceEthnicity,White,1,100.0%,1
Othello School District,Othello High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,100.0%,1
Othello School District,Othello High School,Certificate,TCTE500 - CAREER AND TECHNICAL EDUCATION CONTINUING TEACHER           ,1,100.0%,1
Othello School District,Othello High School,Degree,Master's Degree,1,100.0%,1
Othello School District,Othello High School,Gender,Female,1,100.0%,1
Othello School District,Othello High School,RaceEthnicity,White,1,100.0%,1
Pasco School District,Chiawana Senior High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,2,33.3%,6
Pasco School District,Chiawana Senior High School,Certificate,C270700 - EMERGENCY SUBSTITUTE TEACHER                                ,1,16.7%,6
Pasco School District,Chiawana Senior High School,Certificate,CCTE203 - CAREER AND TECHNICAL EDUCATION CONDITIONAL TEACHER          ,1,16.7%,6
Pasco School District,Chiawana Senior High School,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,16.7%,6
Pasco School District,Chiawana Senior High School,Certificate,T230700 - CONTINUING TEACHER                                          ,1,16.7%,6
Pasco School District,Chiawana Senior High School,Certificate,T310600 - RESIDENCY TEACHER (FIRST ISSUE)                             ,1,16.7%,6
Pasco School District,Chiawana Senior High School,Certificate,T320900 - RESIDENCY TEACHER (RENEWAL)                                 ,1,16.7%,6
Pasco School District,Chiawana Senior High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,2,33.3%,6
Pasco School District,Chiawana Senior High School,Certificate,TCTE700 - CAREER AND TECHNICAL ED CONTINUING TEACHER (RENEWAL),2,33.3%,6
Pasco School District,Chiawana Senior High School,Degree,Bachelor's Degree,1,16.7%,6
Pasco School District,Chiawana Senior High School,Degree,Master's Degree,4,66.7%,6
Pasco School District,Chiawana Senior High School,Degree,Other/Non Degreed,1,16.7%,6
Pasco School District,Chiawana Senior High School,Gender,Female,3,50.0%,6
Pasco School District,Chiawana Senior High School,Gender,Male,3,50.0%,6
Pasco School District,Chiawana Senior High School,RaceEthnicity,White,6,100.0%,6
Pasco School District,Pasco Senior High School,Certificate,CCTE101 - CAREER AND TECHNICAL EDUCATION PROBATIONARY TEACHER         ,1,100.0%,1
Pasco School District,Pasco Senior High School,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,100.0%,1
Pasco School District,Pasco Senior High School,Degree,Master's Degree,1,100.0%,1
Pasco School District,Pasco Senior High School,Gender,Male,1,100.0%,1
Pasco School District,Pasco Senior High School,RaceEthnicity,White,1,100.0%,1
Pateros School District,Pateros High School,Certificate,1043700 - CONTINUING ELEMENTARY AND SECONDARY TEACHER                 ,1,50.0%,2
Pateros School District,Pateros High School,Certificate,C260700 - SUBSTITUTE TEACHER                                          ,1,50.0%,2
Pateros School District,Pateros High School,Certificate,T320500 - RESIDENCY TEACHER                                           ,1,50.0%,2
Pateros School District,Pateros High School,Degree,Bachelor's Degree,1,50.0%,2
Pateros School District,Pateros High School,Degree,Master's Degree,1,50.0%,2
Pateros School District,Pateros High School,Gender,Female,1,50.0%,2
Pateros School District,Pateros High School,Gender,Male,1,50.0%,2
Pateros School District,Pateros High School,RaceEthnicity,Hispanic/ Latino of any race(s),1,50.0%,2
Pateros School District,Pateros High School,RaceEthnicity,White,1,50.0%,2
Peninsula School District,Gig Harbor High,Certificate,CCTE205 - CAREER AND TECHNICAL ED CONDITIONAL TEACHER (RENEWAL),1,50.0%,2
Peninsula School District,Gig Harbor High,Certificate,T330600 - PROFESSIONAL TEACHER,1,50.0%,2
Peninsula School District,Gig Harbor High,Certificate,T330800 - PROFESSIONAL TEACHER (RENEWAL)                              ,1,50.0%,2
Peninsula School District,Gig Harbor High,Certificate,TCTE100 - CAREER AND TECHNICAL EDUCATION INITIAL TEACHER              ,1,50.0%,2
